idx,type,character,sentence,prediction
0,consigne,,ACT I SCENE I,
1,consigne,,"Scene: A hotel lobby. There are large comfortable chairs set out and a bar to the right. There are two sofas in the room, one on either side of the stage. It is raining outside. BARMAN is behind the bar whistling whilst he dries a glass.",
2,consigne,,Enter JESSICA shaking off her umbrella.,
3,speech,JESSICA,Goodness me.,joy
4,speech,JESSICA,"What weather! 
",surprise
5,speech,BARMAN,"Good evening madam, are you with the Cleethorpes party?
",neutral
6,speech,JESSICA,Well yes I am.,neutral
7,speech,JESSICA,"How could you possibly know that?
",surprise
8,speech,BARMAN,You're the hotel's only guests madam.,neutral
9,speech,BARMAN,It seems Mr Cleethorpes rented the entire hotel just for your party.,neutral
10,consigne,,laughs,
11,speech,JESSICA,"Yes that sounds like Edwin alright, more money then sense.",neutral
12,speech,BARMAN,"Shall I have your bags taken up madam? 
",anger
13,speech,JESSICA,"No, no don't bother with any of that.",anger
14,consigne,,slumps in one of the chairs,
15,speech,JESSICA,"But you can pour me a nice glass of sherry if you don't mind.
",neutral
16,speech,BARMAN,"Jerez alright madam?
",neutral
17,speech,JESSICA,"Perfect.
",neutral
18,consigne,,He pours,
19,consigne,,and brings the drink over to her then returns to the bar,
20,speech,JESSICA,"Did you know Edwin?
",surprise
21,speech,BARMAN,"Everybody knew Mr Cleethorpes Madam, even people who had only spoken to him once or twice knew him.",neutral
22,speech,BARMAN,I'm not at all sure he knew me ' though he did always remember my name.,neutral
23,speech,BARMAN,"I always got the feeling that he regarded me with friendliness, but only in the way he regarded everyone he ever met as a friend.",disgust
24,consigne,,JESSICA lights a cigarette,
25,speech,JESSICA,Yes that's quite true.,neutral
26,speech,JESSICA,He really did find something in everybody to like.,neutral
27,speech,JESSICA,It's a trait that's annoying in most people.,disgust
28,speech,JESSICA,That sort of stubborn unwillingness to dislike anybody is usually the substitute for a proper personality.,neutral
29,speech,JESSICA,It's the weapon which the obsessively chirpy use to make us feel bad that we can't stand most of our friends.,disgust
30,speech,JESSICA,"Not in Edwin though, he really was something special.",surprise
31,speech,JESSICA,He actually did see every bit of brightness and goodness in everyone.,neutral
32,speech,JESSICA,"He didn't even try and look for it, he just saw it.",neutral
33,speech,BARMAN,Indeed he was the most generous of men.,neutral
34,speech,BARMAN,He took great joy in giving all the staff here extremely large tips.,joy
35,speech,BARMAN,"One day he came here for Christmas Dinner, drank a half bottle of wine and left two hundred pounds.
",disgust
36,speech,JESSICA,"I say that must have been a very happy Christmas for you and your family.
",joy
37,speech,BARMAN,"Not really madam, I wasn't working.",sadness
38,speech,BARMAN,"However, that does not alter Mr Cleethorpes generosity.",neutral
39,speech,JESSICA,Yes.,neutral
40,speech,JESSICA,"He was so generous, especially for a Jew.",disgust
41,consigne,,BARMAN appears taken aback,
